False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.0670926517571885,1.0
0.0,0.10543130990415335,0.9999999
0.0,0.13099041533546327,0.99999976
0.0,0.134185303514377,0.99999964
0.0,0.15654952076677317,0.9999995
0.0,0.1757188498402556,0.99999917
0.0,0.17891373801916932,0.99999905
0.0,0.1853035143769968,0.9999989
0.0,0.18849840255591055,0.9999988
0.0,0.19808306709265175,0.9999987
0.0,0.20447284345047922,0.99999857
0.0,0.20766773162939298,0.99999845
0.0,0.2268370607028754,0.99999785
0.0,0.23003194888178913,0.9999975
0.0,0.2364217252396166,0.9999974
0.0,0.23961661341853036,0.99999726
0.0,0.24920127795527156,0.9999969
0.0,0.25559105431309903,0.99999666
0.0,0.26198083067092653,0.99999607
0.0,0.29073482428115016,0.99999416
0.0,0.2971246006389776,0.99999404
0.0,0.3035143769968051,0.9999926
0.0,0.30990415335463256,0.99999213
0.0,0.3258785942492013,0.9999882
0.0,0.33226837060702874,0.9999881
0.0,0.3450479233226837,0.99998164
0.0,0.3514376996805112,0.99997914
0.0,0.3546325878594249,0.999979
0.0,0.3610223642172524,0.99997866
0.0,0.36421725239616615,0.99997675
0.0,0.3769968051118211,0.9999764
0.0,0.41533546325878595,0.99995995
0.0,0.4217252396166134,0.9999579
0.0,0.4440894568690096,0.99994826
0.0,0.4504792332268371,0.9999461
0.0,0.4536741214057508,0.99994445
0.0,0.46645367412140576,0.9999391
0.0,0.48562300319488816,0.99990404
0.0,0.49201277955271566,0.999899
0.0,0.549520766773163,0.99980384
0.0,0.5559105431309904,0.9998035
0.0,0.5686900958466453,0.99977416
0.0,0.5750798722044729,0.99977165
0.0,0.6325878594249201,0.9995689
0.0,0.6389776357827476,0.99954945
0.0,0.6964856230031949,0.9990169
0.0,0.7060702875399361,0.9990121
0.0,0.8402555910543131,0.98964065
0.0,0.8466453674121406,0.9895113
0.0,0.853035143769968,0.9890654
0.005305039787798408,0.853035143769968,0.9871464
0.005305039787798408,0.9009584664536742,0.9701533
0.007957559681697613,0.9009584664536742,0.9699799
0.007957559681697613,0.9456869009584664,0.8828546
0.007957559681697613,0.952076677316294,0.8523462
0.010610079575596816,0.952076677316294,0.84433115
0.010610079575596816,0.9616613418530351,0.76876456
0.013262599469496022,0.9616613418530351,0.7145071
0.013262599469496022,0.9712460063897763,0.64013606
0.015915119363395226,0.9712460063897763,0.58683974
0.015915119363395226,0.9808306709265175,0.41275766
0.021220159151193633,0.9808306709265175,0.24975184
0.021220159151193633,0.9840255591054313,0.14037317
0.021220159151193633,0.9904153354632588,0.117576644
0.021220159151193633,0.9936102236421726,0.089153424
0.023872679045092837,0.9936102236421726,0.08820822
0.023872679045092837,0.9968051118210862,0.0713724
0.034482758620689655,0.9968051118210862,0.024113765
0.03978779840848806,0.9968051118210862,0.019715875
0.13793103448275862,0.9968051118210862,0.0019045915
0.13793103448275862,1.0,0.0018611152
0.259946949602122,1.0,0.00020773963
0.26525198938992045,1.0,0.00020634456
0.33156498673740054,1.0,9.22438e-05
0.33687002652519893,1.0,9.204786e-05
0.3925729442970822,1.0,4.8840684e-05
0.3978779840848806,1.0,4.6512443e-05
0.44297082228116713,1.0,3.0145411e-05
0.4482758620689655,1.0,2.6904541e-05
0.6339522546419099,1.0,3.0318051e-06
0.6392572944297082,1.0,2.9680853e-06
1.0,1.0,1.4318959e-11
