False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.0033222591362126247,0.98910856
0.0,0.023255813953488372,0.9740262
0.002570694087403599,0.023255813953488372,0.97383887
0.002570694087403599,0.0664451827242525,0.95542496
0.002570694087403599,0.07641196013289037,0.95506465
0.002570694087403599,0.11960132890365449,0.9354882
0.005141388174807198,0.11960132890365449,0.9354667
0.005141388174807198,0.14950166112956811,0.9279645
0.007712082262210797,0.14950166112956811,0.9260829
0.007712082262210797,0.16943521594684385,0.92113715
0.010282776349614395,0.16943521594684385,0.92092377
0.010282776349614395,0.1760797342192691,0.9192129
0.012853470437017995,0.1760797342192691,0.91433686
0.012853470437017995,0.20930232558139536,0.89883465
0.015424164524421594,0.20930232558139536,0.89499915
0.015424164524421594,0.24584717607973422,0.8793631
0.017994858611825194,0.24584717607973422,0.87798184
0.017994858611825194,0.27906976744186046,0.86062384
0.02056555269922879,0.27906976744186046,0.8595107
0.02056555269922879,0.2823920265780731,0.85884213
0.02313624678663239,0.2823920265780731,0.84708506
0.02313624678663239,0.292358803986711,0.8387253
0.02570694087403599,0.292358803986711,0.83618236
0.02570694087403599,0.29900332225913623,0.83593076
0.02570694087403599,0.3122923588039867,0.82614654
0.028277634961439587,0.3122923588039867,0.82500696
0.028277634961439587,0.32558139534883723,0.81330574
0.028277634961439587,0.3388704318936877,0.80665654
0.028277634961439587,0.34219269102990035,0.80151063
0.030848329048843187,0.34219269102990035,0.79336
0.030848329048843187,0.37209302325581395,0.782705
0.033419023136246784,0.37209302325581395,0.7811397
0.033419023136246784,0.38870431893687707,0.76449955
0.033419023136246784,0.3953488372093023,0.7611754
0.033419023136246784,0.4318936877076412,0.7481967
0.03598971722365039,0.4318936877076412,0.74691606
0.03598971722365039,0.4418604651162791,0.74478257
0.038560411311053984,0.4418604651162791,0.7380922
0.038560411311053984,0.44518272425249167,0.73736936
0.04113110539845758,0.44518272425249167,0.73714143
0.04113110539845758,0.4584717607973422,0.732525
0.043701799485861184,0.4584717607973422,0.7299886
0.043701799485861184,0.46179401993355484,0.7284997
0.04627249357326478,0.46179401993355484,0.72717714
0.04627249357326478,0.4750830564784053,0.7220206
0.04627249357326478,0.48172757475083056,0.7218719
0.04627249357326478,0.4850498338870432,0.7214164
0.04884318766066838,0.4850498338870432,0.71935755
0.04884318766066838,0.5049833887043189,0.7009828
0.05141388174807198,0.5049833887043189,0.69288945
0.05141388174807198,0.5116279069767442,0.6840287
0.05398457583547558,0.5116279069767442,0.6830713
0.05398457583547558,0.5348837209302325,0.6797792
0.056555269922879174,0.5348837209302325,0.6774048
0.056555269922879174,0.5481727574750831,0.6688606
0.05912596401028278,0.5481727574750831,0.6609587
0.05912596401028278,0.5548172757475083,0.659048
0.061696658097686374,0.5548172757475083,0.65817434
0.061696658097686374,0.5581395348837209,0.6579446
0.06940874035989718,0.5581395348837209,0.65340805
0.06940874035989718,0.5946843853820598,0.64052457
0.07197943444730077,0.5946843853820598,0.6366404
0.07197943444730077,0.6046511627906976,0.6325919
0.07455012853470437,0.6046511627906976,0.6311717
0.07455012853470437,0.6179401993355482,0.62846214
0.07969151670951156,0.6179401993355482,0.6243922
0.07969151670951156,0.6245847176079734,0.62276036
0.08226221079691516,0.6245847176079734,0.61821276
0.08226221079691516,0.627906976744186,0.6162182
0.08483290488431877,0.627906976744186,0.61427635
0.08483290488431877,0.6312292358803987,0.6128086
0.08740359897172237,0.6312292358803987,0.6118544
0.08740359897172237,0.6611295681063123,0.60237294
0.08997429305912596,0.6611295681063123,0.60089564
0.08997429305912596,0.6843853820598007,0.58052313
0.09254498714652956,0.6843853820598007,0.57896453
0.09254498714652956,0.6976744186046512,0.5735144
0.09768637532133675,0.6976744186046512,0.57211185
0.09768637532133675,0.707641196013289,0.5655288
0.09768637532133675,0.7142857142857143,0.5594854
0.09768637532133675,0.7209302325581395,0.5584234
0.10025706940874037,0.7209302325581395,0.5552762
0.10025706940874037,0.7242524916943521,0.55346334
0.10282776349614396,0.7242524916943521,0.55250955
0.10282776349614396,0.7342192691029901,0.54919004
0.11311053984575835,0.7342192691029901,0.54361016
0.11311053984575835,0.7408637873754153,0.53976566
0.11568123393316196,0.7408637873754153,0.53659815
0.11568123393316196,0.7441860465116279,0.53271526
0.12596401028277635,0.7441860465116279,0.52949435
0.12596401028277635,0.7508305647840532,0.52663416
0.12853470437017994,0.7508305647840532,0.5244335
0.12853470437017994,0.7574750830564784,0.51854163
0.13367609254498714,0.7574750830564784,0.518207
0.13367609254498714,0.760797342192691,0.5177506
0.14910025706940874,0.760797342192691,0.5082742
0.14910025706940874,0.7641196013289037,0.5074827
0.15167095115681234,0.7641196013289037,0.5063891
0.15167095115681234,0.770764119601329,0.50428236
0.15424164524421594,0.770764119601329,0.5038051
0.15424164524421594,0.7740863787375415,0.49185923
0.16195372750642673,0.7740863787375415,0.48926523
0.16195372750642673,0.7774086378737541,0.48788714
0.16195372750642673,0.7840531561461794,0.48733234
0.16452442159383032,0.7840531561461794,0.4855534
0.16452442159383032,0.7873754152823921,0.4848983
0.16966580976863754,0.7873754152823921,0.4823733
0.16966580976863754,0.7940199335548173,0.4817174
0.16966580976863754,0.7973421926910299,0.48135504
0.17223650385604114,0.7973421926910299,0.48062778
0.17223650385604114,0.8106312292358804,0.4656102
0.18766066838046272,0.8106312292358804,0.45999178
0.18766066838046272,0.8172757475083057,0.4506334
0.19023136246786632,0.8172757475083057,0.45049283
0.19023136246786632,0.8239202657807309,0.44717842
0.1953727506426735,0.8239202657807309,0.44144872
